"DownloadedAt","NexusModId","ArchiveName","SizeMB","SourceUrl","FullPath","BacklogStatus","Notes"
"2026-06-23 23:08:22","8658","HoneyWorkshop-8658-2-4-1768333423.zip","0.04","https://www.nexusmods.com/witcher3/mods/8658","C:\Users\marti\Downloads\HoneyWorkshop-8658-2-4-1768333423.zip","triage",""
"2026-06-23 23:07:26","8548","dlcvineyard-8548-2-2-1768338301.zip","0.05","https://www.nexusmods.com/witcher3/mods/8548","C:\Users\marti\Downloads\dlcvineyard-8548-2-2-1768338301.zip","triage",""
"2026-06-23 23:07:13","8548","dlcvineyard(dlc menu strings)-8548-1-2-1696160018.zip","0","https://www.nexusmods.com/witcher3/mods/8548","C:\Users\marti\Downloads\dlcvineyard(dlc menu strings)-8548-1-2-1696160018.zip","triage",""
"2026-06-23 23:06:39","8041","mod00MarlenaTheCook-8041-2-2a-1774723815.zip","0.02","https://www.nexusmods.com/witcher3/mods/8041","C:\Users\marti\Downloads\mod00MarlenaTheCook-8041-2-2a-1774723815.zip","triage",""
"2026-06-23 23:05:40","7955","modQuestItemEquipment - Next-Gen-7955-2-8b-1770563470.zip","0.27","https://www.nexusmods.com/witcher3/mods/7955","C:\Users\marti\Downloads\modQuestItemEquipment - Next-Gen-7955-2-8b-1770563470.zip","triage",""
"2026-06-23 23:05:28","7955","modAlchemy_Primer_QuestItemEquipment_Patch-7955-2-8b-Alchemy1-12-1-1770522925.zip","0","https://www.nexusmods.com/witcher3/mods/7955","C:\Users\marti\Downloads\modAlchemy_Primer_QuestItemEquipment_Patch-7955-2-8b-Alchemy1-12-1-1770522925.zip","triage",""
"2026-06-23 23:04:07","7732","AlcoholFactory-7732-3-7-1743864885.zip","0.4","https://www.nexusmods.com/witcher3/mods/7732","C:\Users\marti\Downloads\AlcoholFactory-7732-3-7-1743864885.zip","triage",""
"2026-06-23 23:03:35","7732","modAlchemy_Primer_AlcoholFactory_Patch-7732-3-7-Alchemy1-12-1-1770522977.zip","0.01","https://www.nexusmods.com/witcher3/mods/7732","C:\Users\marti\Downloads\modAlchemy_Primer_AlcoholFactory_Patch-7732-3-7-Alchemy1-12-1-1770522977.zip","triage",""
"2026-06-23 22:58:10","5503","All Gear Enchanting Based On Sockets-5503-1-2-1743865146.zip","0.02","https://www.nexusmods.com/witcher3/mods/5503","C:\Users\marti\Downloads\All Gear Enchanting Based On Sockets-5503-1-2-1743865146.zip","triage",""
"2026-06-23 22:57:58","5503","modAllGearEnchantingBasedOnSockets_FStashPatch-5503-1-2-1741449758.zip","0.01","https://www.nexusmods.com/witcher3/mods/5503","C:\Users\marti\Downloads\modAllGearEnchantingBasedOnSockets_FStashPatch-5503-1-2-1741449758.zip","triage",""
"2026-06-23 22:56:48","6033","mod0BiA_ASL_Compatibility - Next-Gen-6033-BiA-Next-Gen-2-1-1682687497.zip","0.03","https://www.nexusmods.com/witcher3/mods/6033","C:\Users\marti\Downloads\mod0BiA_ASL_Compatibility - Next-Gen-6033-BiA-Next-Gen-2-1-1682687497.zip","triage",""
"2026-06-23 22:55:43","6499","modMirrorReward_BiA3-6499-2-3c-1770519583.zip","0.05","https://www.nexusmods.com/witcher3/mods/6499","C:\Users\marti\Downloads\modMirrorReward_BiA3-6499-2-3c-1770519583.zip","triage",""
"2026-06-23 22:53:34","7488","Events-7488-2-0-1-1764411098.zip","2.77","https://www.nexusmods.com/witcher3/mods/7488","C:\Users\marti\Downloads\Events-7488-2-0-1-1764411098.zip","triage",""
"2026-06-23 22:50:36","7553","RealCheatingYenAndTriss - Next-Gen ONLY-7553-2-1-1746902002.zip","0.01","https://www.nexusmods.com/witcher3/mods/7553","C:\Users\marti\Downloads\RealCheatingYenAndTriss - Next-Gen ONLY-7553-2-1-1746902002.zip","triage",""
